Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_random_replay_frame_length_diff_alternancia,0.1547,0.1386,0.127,17.028,0.352
rule_random_replay_goose_length_diff_incremento_anomalo,0.158,0.1352,0.124,15.737,0.421
rule_random_replay_frame_length_diff_frequencia_irregular,0.164,0.1939,0.129,18.05,0.392
rule_random_replay_timestamp_diff_alternancia,0.1653,0.1341,0.13,14.469,0.422
rule_random_replay_frame_length_diff_incremento_anomalo,0.1671,0.396,0.125,153.333,0.433
rule_random_replay_apdu_size_diff_incremento_anomalo,0.1681,0.195,0.124,16.007,0.4435
rule_grayhole_timestampdiff_zero,0.1688,0.2052,0.125,21.536,0.429
rule_inverse_replay_pacotes_frame_length_diff_grande,0.1693,0.6008,0.136,199.576,0.3895
rule_injection_tdiff,0.1709,0.2559,0.125,15.68,0.495
rule_grayhole_stnum,0.1737,0.5686,0.116,158.579,0.737
rule_random_replay_cb_status_diff_incremento_anomalo,0.1747,0.1901,0.135,23.585,0.501
rule_random_replay_apdu_size_diff_alternancia,0.1764,0.8613,0.128,309.75,0.466
rule_random_replay_timestamp_diff_incremento_anomalo,0.1766,0.3891,0.128,115.312,0.477
rule_random_replay_cb_status_diff_alternancia,0.1774,0.3493,0.127,116.399,0.475
rule_random_replay_apdu_size_diff_frequencia_irregular,0.1787,0.2608,0.138,62.232,0.488
rule_grayhole_apdu_size,0.1787,0.2439,0.127,18.729,0.507
rule_masquerade_fake_normal_timestamp_diff_outside_normal_range,0.1788,0.3945,0.134,143.878,0.459
rule_random_replay_large_sqdiff,0.1796,0.1803,0.135,18.495,0.435
rule_random_replay_goose_length_diff_alternancia,0.1797,0.4739,0.128,138.247,0.525
rule_random_replay_goose_length_diff_frequencia_irregular,0.1802,0.5464,0.141,218.545,0.471
rule_masquerade_fake_fault_frequencia,0.1803,0.5318,0.134,213.507,0.448
rule_grayhole_frame_length,0.1808,0.1746,0.129,21.975,0.466
rule_random_replay_sq_num_incremento_anomalo,0.1813,0.1496,0.141,15.387,0.516
rule_inverse_replay_pacotes_tdiff_grande,0.1814,0.162,0.14,16.64,0.4
rule_random_replay_large_stdiff,0.1815,0.6137,0.134,260.615,0.464
rule_high_StNum_timeFromLastChange,0.1817,0.2242,0.129,19.287,0.55
rule_random_replay_masquerade_falsificacao,0.182,0.5541,0.138,224.12,0.5015
rule_injection_timestampdiff,0.1834,0.2345,0.135,22.287,0.5255
rule_inverse_replay_pacotes_timestamp_diff_pequeno,0.1845,0.4359,0.135,157.978,0.499
rule_random_replay_cb_status_diff_frequencia_irregular,0.1853,0.3001,0.142,48.8,0.472
rule_masquerade_fake_fault_frequencia2,0.1857,0.1787,0.15,18.997,0.471
rule_random_replay_frame_length_diff_desvio,0.1863,0.5756,0.148,217.482,0.437
rule_masquerade_fake_fault_flood,0.1864,0.1702,0.141,23.936,0.464
rule_injection_sqdiff,0.1873,0.2535,0.136,17.082,0.636
rule_random_replay_flood_rajada,0.1877,0.2192,0.129,27.528,0.496
rule_random_replay_replay_consistente,0.1885,0.4244,0.141,172.737,0.6285
rule_random_replay_timestamp_diff_desvio,0.1902,0.1677,0.148,17.525,0.472
rule_poisoned_high_rate_flood,0.1906,0.3981,0.151,158.36,0.52
rule_grayhole_goose_length,0.1909,0.4122,0.125,161.185,0.6445
rule_masquerade_fake_fault_grayhole,0.1921,0.1642,0.152,24.218,0.422
rule_random_replay_apdu_size_diff_desvio,0.1933,1.173,0.142,343.392,0.4815
rule_masquerade_fake_fault_tdiff,0.1949,0.3166,0.139,123.321,0.486
rule_masquerade_fake_fault_timestampdiff,0.1957,0.2992,0.144,84.952,0.488
rule_high_StNum_combined,0.1958,0.2313,0.136,42.987,0.725
rule_random_replay_timestamp_diff_frequencia_irregular,0.1977,0.487,0.127,145.847,0.543
rule_inverse_replay_desvio_significativo,0.1978,0.2216,0.159,16.018,0.422
rule_random_replay_timestamp_anomaly,0.1983,0.6294,0.127,205.308,0.5265
rule_inverse_replay_tdiff,0.1984,0.3512,0.141,65.822,0.6235
rule_grayhole_irregular_intervals,0.1991,0.4289,0.139,113.509,0.497
rule_random_replay_cb_status_diff_desvio,0.2001,0.3667,0.144,85.694,0.491
rule_injection_timefromlastchange,0.2005,0.2517,0.133,16.421,0.501
rule_random_replay_goose_length_diff_desvio,0.2006,0.6113,0.154,166.228,0.5275
rule_injection_rajada_de_pacotes_em_intervalo_muito_curto,0.201,0.1908,0.163,15.868,0.466
rule_poisoned_high_rate_statistical_anomaly,0.203,0.3949,0.157,141.449,0.503
rule_high_StNum_StNum,0.203,0.2692,0.132,18.807,0.676
rule_grayhole_timediff,0.2035,0.5859,0.139,219.299,0.547
rule_grayhole_combined,0.2045,0.4775,0.127,199.452,0.656
rule_masquerade_fake_normal_large_stdiff,0.2062,0.3778,0.146,134.954,0.5095
rule_injection_ethsrc_falsification,0.2065,0.4437,0.155,188.413,0.6115
rule_random_replay_st_num_incremento_anomalo,0.2086,0.5244,0.154,160.015,0.671
rule_poisoned_high_rate_frequency,0.213,0.6623,0.152,227.038,0.534
rule_grayhole_cbstatus_change_sense_sequence,0.2144,0.3319,0.146,60.132,0.507
rule_injection_stdiff,0.2168,0.1847,0.144,17.598,0.709
rule_grayhole_stnum_zero,0.2174,0.2372,0.131,57.608,0.523
rule_grayhole_tdif_change_sense,0.2178,0.4663,0.145,154.572,0.524
rule_grayhole_suspicious_sqnum,0.2188,0.4689,0.127,170.664,0.616
rule_grayhole_injection,0.2192,1.686,0.144,725.08,0.567
rule_inverse_replay_inconsistencias_campos_derivados,0.2221,0.2067,0.169,24.197,0.541
rule_masquerade_fake_normal_high_stnum,0.2226,0.5062,0.144,178.643,0.644
rule_masquerade_fake_normal_falsification,0.2237,0.1656,0.149,17.179,0.503
rule_grayhole_sqnum,0.2245,0.3082,0.131,52.228,0.7145
rule_masquerade_fake_fault_cbstatus_goID_falsification,0.2257,0.4258,0.173,174.861,0.541
rule_high_StNum_stDiff_and_StNum,0.2278,0.2051,0.133,17.664,0.7115
rule_masquerade_fake_fault_sqdiff,0.2293,0.6571,0.143,224.382,0.711
rule_inverse_replay_eth_src_dst,0.23,0.2784,0.152,24.65,0.553
rule_injection_cb_status_alterado_go_id_alterado_delay_anomalo,0.2306,0.2392,0.186,16.593,0.514
rule_grayhole_frame_length_diff_injection,0.2312,0.1628,0.173,15.78,0.5835
rule_high_StNum_stDiff,0.2315,0.3711,0.136,82.769,0.6445
rule_injection_timestamp_diff_anomaly,0.2321,0.6494,0.151,202.273,0.561
rule_poisoned_high_rate_stnum,0.2328,2.1807,0.144,642.055,0.692
rule_inverse_replay_stdiff_sqdiff,0.2329,0.4002,0.14,53.166,0.626
rule_injection_ethsrc_ethdst_outside_topology,0.2329,0.2521,0.155,16.397,0.536
rule_grayhole_falsification,0.2333,0.7397,0.169,270.023,0.569
rule_grayhole_timefromlastchange_change_sense,0.2338,0.3238,0.148,54.235,0.578
rule_poisoned_high_rate_falsification_state,0.2348,0.1969,0.176,57.05,0.601
rule_random_replay_grayhole_desaparecimento,0.2349,0.4759,0.152,182.361,0.741
rule_masquerade_fake_fault_stdiff,0.2351,0.5906,0.156,144.047,0.598
rule_injection_alternancia_entre_valores_normais_e_anomais,0.2352,0.2287,0.197,32.048,0.49
rule_poisoned_high_rate_tdiff,0.2354,0.9485,0.141,337.635,0.68
rule_grayhole_timefromlastchange_replay,0.2355,0.2929,0.159,83.602,0.568
rule_grayhole_anomalous_frequency,0.2356,0.4696,0.167,181.07,0.677
rule_inverse_replay_mudanca_anomala_gooselengthdiff_apdusize,0.2362,0.2283,0.193,25.527,0.5245
rule_masquerade_fake_fault_jumps_stnum_time_diff,0.2367,0.4195,0.18,151.374,0.67
